0,"[[0.21, 0.625, 0.871, 0.551], [0.178, 0.797, 0.607, 0.062]]","[0.14277000000000001, -7.3224200000000002]"
1,"[[0.04, 0.504, 0.583, 0.144], [0.129, 0.441, 0.345, 0.759]]","[0.089499999999999996, -5.7210799999999997]"
2,"[[0.036, 0.441, 0.64, 0.787], [0.129, 0.885, 0.909, 0.049]]","[0.27235999999999999, -7.3038699999999999]"
3,"[[0.671, 0.456, 0.608, 0.753], [0.129, 0.885, 0.909, 0.049]]","[0.097890000000000005, -6.8251999999999997]"
4,"[[0.054, 0.11, 0.831, 0.802], [3.022, 1.094, 0.909, 0.049]]","[0.36253000000000002, -6.9617000000000004]"
5,"[[0.015, 0.509, 1.808, 0.021], [3.022, 1.094, 0.909, 0.049]]","[0.13123000000000001, -7.5386699999999998]"
6,"[[0.849, 0.687, 1.169, 0.021], [3.022, 1.094, 1.888, 0.062]]","[0.098629999999999995, -7.1437299999999997]"
7,"[[0.019, 0.783, 0.64, 0.787], [2.193, 1.757, 0.428, 0.003]]","[0.080949999999999994, -7.7006199999999998]"
8,"[[0.137, 0.811, 0.597, 0.021], [1.271, 1.094, 1.398, 0.049]]","[0.15515999999999999, -8.5902999999999992]"
9,"[[0.011, 0.447, 1.231, 0.021], [0.456, 0.73, 1.888, 0.062]]","[0.023210000000000001, -7.8440000000000003]"
10,"[[0.284, 2.524, 0.698, 0.257], [1.94, 1.794, 0.909, 0.049]]","[0.19966, -6.1712499999999997]"
11,"[[0.04, 2.618, 2.864, 0.021], [1.982, 1.749, 2.134, 0.062]]","[0.026599999999999999, -5.75732]"
12,"[[1.528, 0.493, 0.618, 0.021], [2.506, 1.297, 1.38, 0.062]]","[0.19436, -9.3704999999999998]"
13,"[[0.053, 0.622, 1.413, 0.021], [0.715, 4.26, 0.65, 0.003]]","[0.22963, -5.9582300000000004]"
14,"[[0.997, 1.298, 2.141, 0.021], [0.681, 2.208, 3.962, 0.049]]","[0.10584, -5.2308599999999998]"
15,"[[2.535, 4.047, 7.945, 0.257], [1.504, 0.879, 1.872, 0.062]]","[0.03465, -6.01539]"
16,"[[0.073, 1.811, 1.45, 0.021], [0.362, 2.176, 3.824, 0.049]]","[0.070430000000000006, -6.3499800000000004]"
17,"[[0.073, 1.811, 1.723, 0.021], [5.397, 2.542, 2.933, 0.049]]","[0.047489999999999997, -4.9213899999999997]"
18,"[[0.987, 4.047, 4.243, 0.257], [6.311, 4.672, 3.545, 0.062]]","[0.11799999999999999, -5.06412]"
19,"[[0.114, 5.505, 1.387, 0.021], [2.059, 6.143, 2.428, 0.049]]","[0.077810000000000004, -4.8435600000000001]"
20,"[[0.106, 1.031, 2.993, 0.021], [7.85, 6.992, 4.159, 0.062]]","[0.0487, -5.3450499999999996]"
21,"[[0.299, 2.261, 5.958, 0.257], [1.751, 2.438, 10.006, 0.049]]","[0.032899999999999999, -5.4424200000000003]"
22,"[[6.215, 5.505, 1.111, 0.021], [1.084, 2.572, 5.218, 0.062]]","[0.081680000000000003, -4.9681100000000002]"
23,"[[0.198, 2.775, 12.489, 0.257], [3.337, 3.61, 3.783, 0.049]]","[0.12058000000000001, -5.0634899999999998]"
24,"[[2.57, 12.84, 1.352, 0.021], [1.612, 3.431, 14.942, 0.062]]","[0.044049999999999999, -5.5691600000000001]"
25,"[[0.056, 6.219, 5.783, 0.257], [2.281, 3.911, 6.491, 0.062]]","[0.01702, -5.32803]"
26,"[[0.046, 2.188, 2.646, 0.021], [0.393, 1.946, 1.413, 0.003]]","[0.16084999999999999, -4.6966999999999999]"
27,"[[3.28, 3.069, 24.186, 0.257], [8.016, 3.309, 9.233, 0.049]]","[0.016119999999999999, -3.5951200000000001]"
28,"[[0.085, 2.775, 5.958, 0.257], [5.412, 5.649, 12.627, 0.049]]","[0.066280000000000006, -4.6316499999999996]"
29,"[[0.113, 2.002, 10.452, 0.257], [5.412, 4.748, 12.627, 0.049]]","[0.024809999999999999, -6.0148000000000001]"
30,"[[3.28, 15.615, 1.027, 0.021], [1.729, 4.902, 2.349, 0.049]]","[0.029499999999999998, -4.6101400000000003]"
31,"[[0.401, 5.37, 46.606, 0.257], [8.016, 1.339, 17.117, 0.049]]","[0.021329999999999998, -5.1846100000000002]"
32,"[[0.198, 3.759, 30.624, 0.257], [0.875, 3.674, 11.465, 0.049]]","[0.05781, -5.0678400000000003]"
33,"[[0.577, 9.019, 10.452, 0.257], [5.126, 3.114, 17.117, 0.049]]","[0.031960000000000002, -4.6040700000000001]"
34,"[[0.319, 30.885, 16.356, 0.257], [8.016, 1.888, 3.167, 0.062]]","[0.077229999999999993, -3.92997]"
35,"[[0.179, 21.435, 2.21, 0.021], [1.829, 3.114, 17.117, 0.049]]","[0.043540000000000002, -5.8802500000000002]"
36,"[[3.742, 19.846, 6.252, 0.021], [4.523, 1.972, 17.117, 0.049]]","[0.036839999999999998, -4.4577600000000004]"
37,"[[0.697, 11.463, 18.748, 0.257], [3.51, 4.347, 7.703, 0.049]]","[0.01839, -5.8484400000000001]"
38,"[[3.28, 37.281, 17.184, 0.257], [9.852, 1.567, 0.763, 0.062]]","[0.048009999999999997, -4.9436999999999998]"
39,"[[0.449, 10.386, 5.063, 0.257], [2.57, 3.639, 12.638, 0.049]]","[0.035409999999999997, -4.7870499999999998]"
40,"[[0.133, 1.704, 9.217, 0.021], [0.608, 2.738, 3.399, 0.062]]","[0.050000000000000003, -5.4796899999999997]"
41,"[[6.526, 25.882, 16.215, 0.257], [15.491, 2.532, 38.183, 0.049]]","[0.12794, -5.5776199999999996]"
42,"[[0.501, 7.572, 22.53, 0.257], [15.491, 19.461, 38.352, 0.049]]","[0.0407, -5.7067100000000002]"
43,"[[5.962, 25.955, 12.064, 0.021], [1.349, 2.892, 47.993, 0.049]]","[0.036760000000000001, -5.5227199999999996]"
44,"[[1.311, 27.756, 14.68, 0.257], [9.033, 6.787, 38.506, 0.049]]","[0.068570000000000006, -4.5181500000000003]"
45,"[[1.084, 38.603, 16.215, 0.257], [1.349, 1.683, 7.703, 0.049]]","[0.017430000000000001, -3.8898299999999999]"
46,"[[0.697, 7.572, 30.906, 0.257], [12.588, 13.134, 38.506, 0.049]]","[0.018620000000000001, -4.8703000000000003]"
47,"[[26.603, 8.268, 16.215, 0.257], [12.588, 13.134, 38.506, 0.049]]","[0.074929999999999997, -5.2268299999999996]"
48,"[[0.697, 5.417, 13.439, 0.021], [1.552, 3.639, 9.542, 0.049]]","[0.046809999999999997, -3.91798]"
49,"[[0.773, 8.157, 5.733, 0.021], [1.349, 3.416, 4.305, 0.062]]","[0.060290000000000003, -5.3273799999999998]"
50,"[[2.148, 26.607, 29.001, 0.257], [2.536, 12.552, 9.997, 0.049]]","[0.028740000000000002, -5.4110699999999996]"
51,"[[1.514, 68.824, 55.921, 0.257], [1.569, 16.593, 15.308, 0.049]]","[0.078170000000000003, -5.20702]"
52,"[[1.036, 37.48, 34.084, 0.257], [4.689, 18.5, 74.058, 0.049]]","[0.056739999999999999, -5.1790900000000004]"
53,"[[0.348, 68.824, 56.86, 0.257], [4.689, 18.5, 74.058, 0.049]]","[0.058049999999999997, -4.8740600000000001]"
54,"[[1.373, 8.157, 43.043, 0.257], [4.119, 10.401, 9.997, 0.049]]","[0.032390000000000002, -5.0037099999999999]"
55,"[[2.444, 16.452, 34.084, 0.257], [4.119, 38.66, 74.532, 0.049]]","[0.016449999999999999, -5.61266]"
56,"[[0.526, 9.759, 7.796, 0.021], [1.945, 18.5, 19.869, 0.062]]","[0.04761, -5.7478499999999997]"
